[2019-05-12 21:31:51]: Path: save/1557667911/ is created
[2019-05-12 21:32:09]: Start train process.
[2019-05-12 21:32:09]: | epoch   0 |     0/ 3494 batches | rec loss 7.9367 | dis loss 0.7152 |
[2019-05-12 21:32:27]: | epoch   0 |   200/ 3494 batches | rec loss 4.8719 | dis loss 0.6133 |
[2019-05-12 21:32:44]: | epoch   0 |   400/ 3494 batches | rec loss 3.7317 | dis loss 0.4824 |
[2019-05-12 21:33:02]: | epoch   0 |   600/ 3494 batches | rec loss 3.0570 | dis loss 0.4921 |
[2019-05-12 21:33:20]: | epoch   0 |   800/ 3494 batches | rec loss 2.5998 | dis loss 0.4548 |
[2019-05-12 21:33:38]: | epoch   0 |  1000/ 3494 batches | rec loss 2.2844 | dis loss 0.4271 |
[2019-05-12 21:33:56]: | epoch   0 |  1200/ 3494 batches | rec loss 2.0063 | dis loss 0.3728 |
[2019-05-12 21:34:13]: | epoch   0 |  1400/ 3494 batches | rec loss 1.7824 | dis loss 0.3138 |
[2019-05-12 21:34:31]: | epoch   0 |  1600/ 3494 batches | rec loss 1.5138 | dis loss 0.3205 |
[2019-05-12 21:34:49]: | epoch   0 |  1800/ 3494 batches | rec loss 1.5187 | dis loss 0.2244 |
[2019-05-12 21:35:06]: | epoch   0 |  2000/ 3494 batches | rec loss 1.4801 | dis loss 0.2659 |
[2019-05-12 21:35:24]: | epoch   0 |  2200/ 3494 batches | rec loss 1.3495 | dis loss 0.2975 |
[2019-05-12 21:35:42]: | epoch   0 |  2400/ 3494 batches | rec loss 1.2939 | dis loss 0.2707 |
[2019-05-12 21:35:59]: | epoch   0 |  2600/ 3494 batches | rec loss 1.1778 | dis loss 0.2903 |
[2019-05-12 21:36:16]: | epoch   0 |  2800/ 3494 batches | rec loss 1.1826 | dis loss 0.3128 |
[2019-05-12 21:36:34]: | epoch   0 |  3000/ 3494 batches | rec loss 1.0256 | dis loss 0.2569 |
[2019-05-12 21:36:51]: | epoch   0 |  3200/ 3494 batches | rec loss 0.9826 | dis loss 0.2527 |
[2019-05-12 21:37:09]: | epoch   0 |  3400/ 3494 batches | rec loss 0.8571 | dis loss 0.2030 |
[2019-05-12 21:37:18]: | end of epoch   0 | time: 309.02s |
[2019-05-12 21:37:18]: | epoch   1 |     0/ 3494 batches | rec loss 0.8860 | dis loss 0.2486 |
[2019-05-12 21:37:35]: | epoch   1 |   200/ 3494 batches | rec loss 0.7805 | dis loss 0.2797 |
[2019-05-12 21:37:53]: | epoch   1 |   400/ 3494 batches | rec loss 0.8952 | dis loss 0.2990 |
[2019-05-12 21:38:10]: | epoch   1 |   600/ 3494 batches | rec loss 0.7852 | dis loss 0.2554 |
[2019-05-12 21:38:29]: | epoch   1 |   800/ 3494 batches | rec loss 0.8654 | dis loss 0.3686 |
[2019-05-12 21:38:55]: | epoch   1 |  1000/ 3494 batches | rec loss 0.8539 | dis loss 0.2678 |
[2019-05-12 21:39:34]: | epoch   1 |  1200/ 3494 batches | rec loss 0.7907 | dis loss 0.2678 |
[2019-05-12 21:40:12]: | epoch   1 |  1400/ 3494 batches | rec loss 0.6875 | dis loss 0.2052 |
[2019-05-12 21:40:51]: | epoch   1 |  1600/ 3494 batches | rec loss 0.6468 | dis loss 0.1937 |
[2019-05-12 21:41:30]: | epoch   1 |  1800/ 3494 batches | rec loss 0.6691 | dis loss 0.2085 |
[2019-05-12 21:42:08]: | epoch   1 |  2000/ 3494 batches | rec loss 0.6647 | dis loss 0.2348 |
[2019-05-12 21:42:48]: | epoch   1 |  2200/ 3494 batches | rec loss 0.7099 | dis loss 0.2837 |
[2019-05-12 21:43:26]: | epoch   1 |  2400/ 3494 batches | rec loss 0.7239 | dis loss 0.2665 |
[2019-05-12 21:44:05]: | epoch   1 |  2600/ 3494 batches | rec loss 0.6949 | dis loss 0.2159 |
[2019-05-12 21:44:44]: | epoch   1 |  2800/ 3494 batches | rec loss 0.7230 | dis loss 0.2548 |
[2019-05-12 21:45:23]: | epoch   1 |  3000/ 3494 batches | rec loss 0.6484 | dis loss 0.2684 |
[2019-05-12 21:46:01]: | epoch   1 |  3200/ 3494 batches | rec loss 0.6261 | dis loss 0.1279 |
[2019-05-12 21:46:40]: | epoch   1 |  3400/ 3494 batches | rec loss 0.5591 | dis loss 0.1350 |
[2019-05-12 21:46:59]: | end of epoch   1 | time: 581.07s |
[2019-05-12 21:46:59]: | epoch   2 |     0/ 3494 batches | rec loss 0.5696 | dis loss 0.1921 |
[2019-05-12 21:47:25]: | epoch   2 |   200/ 3494 batches | rec loss 0.5081 | dis loss 0.1794 |
[2019-05-12 21:47:43]: | epoch   2 |   400/ 3494 batches | rec loss 0.5931 | dis loss 0.2382 |
[2019-05-12 21:48:00]: | epoch   2 |   600/ 3494 batches | rec loss 0.5260 | dis loss 0.2146 |
[2019-05-12 21:48:18]: | epoch   2 |   800/ 3494 batches | rec loss 0.6188 | dis loss 0.3321 |
[2019-05-12 21:48:36]: | epoch   2 |  1000/ 3494 batches | rec loss 0.6171 | dis loss 0.2062 |
[2019-05-12 21:48:53]: | epoch   2 |  1200/ 3494 batches | rec loss 0.5556 | dis loss 0.2002 |
[2019-05-12 21:49:11]: | epoch   2 |  1400/ 3494 batches | rec loss 0.5344 | dis loss 0.1565 |
[2019-05-12 21:49:28]: | epoch   2 |  1600/ 3494 batches | rec loss 0.4919 | dis loss 0.1694 |
[2019-05-12 21:49:46]: | epoch   2 |  1800/ 3494 batches | rec loss 0.5313 | dis loss 0.2126 |
[2019-05-12 21:50:03]: | epoch   2 |  2000/ 3494 batches | rec loss 0.5506 | dis loss 0.1790 |
[2019-05-12 21:50:21]: | epoch   2 |  2200/ 3494 batches | rec loss 0.5713 | dis loss 0.2125 |
[2019-05-12 21:50:38]: | epoch   2 |  2400/ 3494 batches | rec loss 0.5477 | dis loss 0.2057 |
[2019-05-12 21:50:55]: | epoch   2 |  2600/ 3494 batches | rec loss 0.5665 | dis loss 0.2014 |
[2019-05-12 21:51:13]: | epoch   2 |  2800/ 3494 batches | rec loss 0.6011 | dis loss 0.2313 |
[2019-05-12 21:51:31]: | epoch   2 |  3000/ 3494 batches | rec loss 0.5767 | dis loss 0.2152 |
[2019-05-12 21:51:48]: | epoch   2 |  3200/ 3494 batches | rec loss 0.5107 | dis loss 0.1139 |
[2019-05-12 21:52:06]: | epoch   2 |  3400/ 3494 batches | rec loss 0.4741 | dis loss 0.1201 |
[2019-05-12 21:52:14]: | end of epoch   2 | time: 315.41s |
[2019-05-12 21:52:14]: | epoch   3 |     0/ 3494 batches | rec loss 0.5038 | dis loss 0.2106 |
[2019-05-12 21:52:32]: | epoch   3 |   200/ 3494 batches | rec loss 0.4325 | dis loss 0.1865 |
[2019-05-12 21:52:49]: | epoch   3 |   400/ 3494 batches | rec loss 0.5062 | dis loss 0.2326 |
[2019-05-12 21:53:07]: | epoch   3 |   600/ 3494 batches | rec loss 0.4589 | dis loss 0.1964 |
[2019-05-12 21:53:25]: | epoch   3 |   800/ 3494 batches | rec loss 0.5135 | dis loss 0.3093 |
